"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","PM10","O3","Weekday","Month","Year","Season","O3Class","PM10Class","Year_mon"
"1","Koper",5,0.625,2.8,1.9125,1.2,4.6,3.175,2.4,0,0,1019.9,1018.775,1018.1,84.4,83.35,81.7,-0.4,-1.6875,-2.5,2.9,2.2875,1.9,53.3,54.9,"torek","januar",2013,"Zima","NIZKA","VISOKA",jan. 2013
"2","Koper",3.2,0.4,1.9,1.0625,0.5,3,1.9125,1.2,0,0,1018.9,1017.9875,1017.6,85.7,83.675,80.5,-2.3,-2.9875,-4.3,7.1,6.6875,6.2,26.1,68.25,"sreda","januar",2013,"Zima","SREDNJA","NIZKA",jan. 2013
"3","Koper",4,0.5,2.3,1.7,1.3,3.9,3.0625,2.2,0,0,1032.8,1031.3,1029.9,82.1,75.5625,60.1,-4.3,-4.525,-4.7,9.2,6.75,4.7,26,66.2,"èetrtek","januar",2013,"Zima","SREDNJA","NIZKA",jan. 2013
"4","Koper",5,0.625,2,1.775,1.3,4.8,3.25,2.4,0,0,1032.4,1030.9125,1030.1,89.3,87.8625,86.2,3.3,2.9625,2.6,5.4,5.0375,4.4,34.8,49.05,"petek","januar",2013,"Zima","NIZKA","NIZKA",jan. 2013
"5","Koper",4,0.5,2.2,1.7,0.9,3.8,3.1375,2.1,0,0,1023.2,1021.6375,1020.5,93.1,92.225,91.5,3.5,2.9875,2.4,4.5,3.85,3.5,37.7,46.05,"sobota","januar",2013,"Zima","NIZKA","VISOKA",jan. 2013
"6","Koper",3,0.375,2.5,1.9875,1.4,4,3.3375,2.3,0,0,1023.2,1022.4875,1021.3,91.5,84.4,72.1,0,-0.25,-0.7,5.6,4.8,4.1,29.8,56.6,"nedelja","januar",2013,"Zima","NIZKA","NIZKA",jan. 2013
"7","Koper",4,0.5,2.6,1.775,1.2,4.4,3.325,2.2,0,0,1020.2,1019.55,1019.2,89,86.2375,84.4,0.4,-0.025,-0.5,5.7,4.975,4.5,18.9,55.3,"ponedeljek","januar",2013,"Zima","NIZKA","NIZKA",jan. 2013
"8","Koper",1.6,0.2,2.2,1.375,1,3.4,2.275,1.7,0,0,1026.4,1025.8875,1025.4,71.9,68.65,65.3,-2.1,-3.4125,-4.2,6.6,5.9625,5.1,37.9,61.3,"torek","januar",2013,"Zima","SREDNJA","VISOKA",jan. 2013
"9","Koper",1.9,0.2375,1.8,1.3,0.8,2.9,2.3,1.7,0,0,1023.4,1022.6625,1022.1,85.9,82.7375,81,1.6,1.35,1.1,7.7,7.4375,7.2,37.9,60.8,"sreda","januar",2013,"Zima","SREDNJA","VISOKA",jan. 2013
"10","Koper",0.9,0.1125,4.8,2.85,0.9,8,4.95,2.4,0.0375,0.3,1017.5,1015.9875,1014.9,88.9,86.7375,84.4,-3.4,-3.475,-3.6,9,8.625,8.3,42.4,45.1,"èetrtek","januar",2013,"Zima","NIZKA","VISOKA",jan. 2013
"11","Koper",1.7,0.2125,1.6,1.3125,0.7,2.6,2.2,1.6,0,0,1009.4,1008.4375,1007.7,92.5,91.7625,90.5,-3.7,-4.1,-4.3,7.5,6.95,6,40,32.9,"petek","januar",2013,"Zima","NIZKA","VISOKA",jan. 2013
"12","Koper",5,0.625,2.5,1.8625,0.6,5.7,3.575,1.5,0,0,1015.9,1014.7,1013.9,85.8,71.35,55.9,-7.7,-8.35,-9.1,4.5,3.1375,1.4,24.3,60.05,"sobota","januar",2013,"Zima","SREDNJA","NIZKA",jan. 2013
"13","Koper",1,0.125,3.4,1.55,0.9,6.2,3.0375,1.6,0.5375,5.5,1015.5,1014.3125,1013.4,88.7,77.45,67.3,-5.3,-5.75,-6.3,6.5,5.7125,5.1,13.2,60.55,"nedelja","januar",2013,"Zima","SREDNJA","NIZKA",jan. 2013
"14","Koper",0.9,0.1125,3,2.475,2,8,6.15,4.4,1.65,12,1007.9,1007.4875,1006.6,83.2,79.65,76.2,-6.2,-7.1625,-7.9,4.9,3.55,2.5,24.9,57.55,"ponedeljek","januar",2013,"Zima","NIZKA","NIZKA",jan. 2013
"15","Koper",2.9,0.3625,2.7,1.8375,0.9,6.6,3.8375,2,0.1625,1.4,1010.2,1009.3875,1008.9,91.8,85.1,76.1,-3.9,-4.7625,-5.5,8.1,6.6125,5.3,17.3,80,"torek","januar",2013,"Zima","SREDNJA","NIZKA",jan. 2013
"16","Koper",9,1.125,2.7,2.2125,1.9,3.7,3.35,3,0,1.2,1001.4,1001.0875,1000.9,74.2,71.4625,68.1,-7.2,-7.9125,-9.3,2.1,1.0375,0.5,26.2,69,"sobota","januar",2013,"Zima","SREDNJA","NIZKA",jan. 2013
"17","Koper",1.3,0.1625,1.7,1,0.5,2.7,1.9125,1.1,1.1375,7.9,1001.4,999.4625,998.4,95.3,93.525,91.5,-0.3,-2.2125,-4.1,5.6,5.2375,5,20,63.15,"nedelja","januar",2013,"Zima","SREDNJA","NIZKA",jan. 2013
"18","Koper",1.2,0.15,1.8,1.2875,0.7,3.4,2.3125,1.4,1.175,11,995.9,995.0875,994.6,96.7,96.1125,94.7,0.4,0.1875,0,9.6,9.1125,8.8,21.3,46.85,"ponedeljek","januar",2013,"Zima","NIZKA","NIZKA",jan. 2013
"19","Koper",0.8,0.1,2.1,1.7,1.1,4.9,3.2625,2,1.375,9.4,999.9,998.025,996.6,93.2,91.05,89.2,-1.4,-2.6125,-4.2,8.6,8.3125,7.8,15.1,52.7,"torek","januar",2013,"Zima","NIZKA","NIZKA",jan. 2013
"20","Koper",5,0.625,1.9,1.325,0.7,3.1,2.4,1.6,0.2375,3.2,1007.9,1006.55,1005.6,92.8,86.3625,78.9,-5.2,-5.9625,-6.5,6.6,5.7,4.3,17.3,61.05,"sreda","januar",2013,"Zima","SREDNJA","NIZKA",jan. 2013
"21","Koper",2.9,0.3625,2.5,1.625,0.9,6.8,4.2125,2.5,0.225,0.5,1004.1,1001.5625,1000,92.3,74.1,60.6,-4.4,-4.8125,-5.1,7.2,6.9125,6.2,9.4,72.15,"èetrtek","januar",2013,"Zima","SREDNJA","NIZKA",jan. 2013
"22","Koper",6,0.75,4.8,3.6875,2.3,10.3,8.55,5,0,0,1006.9,1005.3875,1004,53.4,49.2125,46.1,-6.1,-6.9875,-8.4,6.3,5.4125,4.9,20.3,74.8,"petek","januar",2013,"Zima","SREDNJA","NIZKA",jan. 2013
"23","Koper",10,1.25,4.6,3.5,2.8,11.3,8.975,6.5,0,0,1011.1,1010.125,1009.6,48.9,46.35,43.4,-11.5,-11.9625,-12.6,1.6,1.1,0.6,32,72.85,"sobota","januar",2013,"Zima","SREDNJA","NIZKA",jan. 2013
"24","Koper",21,2.625,2.9,1.55,0.8,4.3,2.8625,1.8,0,0,1015.2,1014.625,1014.2,74.8,70.75,66,-5.7,-6.5,-7.8,0.1,-0.9375,-1.8,33.2,76.9,"nedelja","januar",2013,"Zima","SREDNJA","NIZKA",jan. 2013
"25","Koper",6.9,0.8625,2.1,1.55,1.1,3.1,2.4,1.8,0,0,1013.1,1012.5625,1012.2,75,70.075,64.4,-1.2,-3.425,-4.6,4.3,3.275,2,41.9,67.8,"ponedeljek","januar",2013,"Zima","SREDNJA","VISOKA",jan. 2013
"26","Koper",16.2,2.025,2.4,1.6375,0.9,3.9,2.8125,1.9,0,0,1024,1023.2125,1022.7,93.2,92.35,91.8,-3.5,-4.25,-5.1,2.8,1.8,1.4,25.9,63.95,"torek","januar",2013,"Zima","SREDNJA","NIZKA",jan. 2013
"27","Koper",3.3,0.4125,1.5,1.0125,0.7,3.1,2.175,1.3,0,0,1022,1021.35,1020.7,85.6,80.15,78.4,5.2,4.125,3.1,6.6,6.2125,5.9,29.8,50.55,"sreda","januar",2013,"Zima","NIZKA","NIZKA",jan. 2013
"28","Koper",3.3,0.4125,3.8,1.5125,0.6,6.7,3.05,1.3,0.05,0.4,1022.3,1019.65,1017.5,94.2,91.3875,79.4,6,1.8,-0.2,6.7,6.05,5.7,30.5,52.7,"èetrtek","januar",2013,"Zima","NIZKA","NIZKA",jan. 2013
"29","Koper",5.8,0.725,2.3,1.4875,0.5,3.7,2.4875,1.1,0,0.2,1016.5,1015.1875,1014.4,88.7,83.5625,78.9,1,0.0875,-1.5,8,7.65,7,40.9,45.1,"petek","februar",2013,"Zima","NIZKA","VISOKA",feb. 2013
"30","Koper",3,0.375,4.3,2.55,1.6,9.6,4.55,3,0.775,6.1,999.2,995.075,991.2,97.5,96.075,94,0.3,0.2125,0,10.5,8.575,8,7.8,74.95,"sobota","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"31","Koper",3.9,0.4875,5.3,3.2125,2,11.6,8.3125,4.8,0.05,0.3,1005.8,1000.875,998,61.4,52.05,41.9,-7.2,-7.6875,-8.5,7.7,7.325,6.8,6.9,75.6,"nedelja","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"32","Koper",25,3.125,2.8,1.7125,1,4.5,2.9875,2,0,0,1017,1016.4125,1015.9,64.2,56.475,47.8,-7.5,-8.4,-9,4.5,3.6625,2.9,16,74.65,"ponedeljek","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"33","Koper",13,1.625,3.2,2.0375,0.6,5.4,3.675,1.5,0,0.4,1018,1015.825,1014.1,73.4,68.9875,60.5,-4,-5.475,-6.7,8.3,7.0875,5.2,19.8,71,"torek","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"34","Koper",5,0.625,6.4,4.625,2.5,11.4,8.2625,4.3,0.1,0.4,999.2,997.3875,996.5,73.9,69.8625,67.2,-2.8,-3.525,-5.7,11,10.85,10.5,14.1,82.1,"sreda","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"35","Koper",27,3.375,2.2,1.575,1.1,3.5,2.75,2.1,0,0,1002.4,1000.775,999.7,81.9,75.7375,66.1,-9,-9.6375,-10,3.8,1.775,0.6,15.7,80.45,"èetrtek","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"36","Koper",21,2.625,2.8,1.775,1.2,7.2,4.7875,3.1,0,0,1008.4,1007.725,1007.4,46.1,41.525,35.7,-10.7,-10.9875,-11.3,5.4,4.9625,4.7,13.2,67.95,"petek","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"37","Koper",12,1.5,2.5,2.1125,1.6,5.2,4.5,3.5,0,0,1012.5,1011.925,1011.6,54,52.5,49.8,-11.6,-11.8375,-12.1,3.5,3.2875,3.1,16.6,64.45,"sobota","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"38","Koper",26,3.25,2.5,1.75,0.7,3.8,3,2.2,0,0,1014.5,1014.0375,1013.8,65.2,61.7625,55.7,-12.5,-12.8,-13.5,1.7,0.225,-0.8,21.9,73.95,"nedelja","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"39","Koper",13,1.625,2,1.5125,0.4,3.6,2.775,1.1,0.0125,3.1,1013.4,1011.8375,1010.7,83.4,72.8,57.4,-11.9,-12.3625,-12.8,3.5,1.3875,0.6,15.2,85.45,"ponedeljek","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"40","Koper",12.7,1.5875,3.5,2.4625,1.2,7.9,5.525,2.8,2.0875,13.7,1001.7,999.975,999.4,86.9,81.7875,78.6,-6.3,-7,-7.6,4.4,3.7125,2.8,28.7,74.65,"torek","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"41","Koper",28,3.5,2.9,1.7375,0.7,7.4,4.475,1.9,0,0,1009.4,1008.55,1008.1,84.8,66.5625,51.3,-7.2,-7.575,-8.1,5.9,3.8625,1.8,23.4,72,"sreda","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"42","Koper",16,2,4.8,3.6375,2.9,12.3,9.8,8,0,0,1017.5,1015.85,1014.9,53.9,51.8375,50.1,-5.3,-5.4125,-5.6,7.1,6.825,6.6,26.8,83.65,"èetrtek","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"43","Koper",47,5.875,2.5,1.6625,1.1,3.8,2.85,1.9,0,0,1016.1,1015.35,1014.8,75.8,74.2625,72.3,-4.9,-5.4625,-5.8,2.3,1.7125,1.2,31.6,73.55,"petek","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"44","Koper",48,6,2.1,1.4125,0.8,5,3.2875,2.3,0,0,1019.7,1019.125,1018.9,74.3,68.6125,62.6,-5.5,-6.025,-6.5,5.8,3.8625,2.4,21.1,85.5,"sobota","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"45","Koper",66,8.25,2.1,1.45,0.9,4.2,3.1875,1.9,0,0,1020.8,1020.15,1019.8,73.8,69.775,65.3,-7.2,-7.7375,-8.2,2.8,1.5625,0.5,20.5,88.2,"nedelja","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"46","Koper",41,5.125,2,1.2375,0.6,4.5,3.1875,2.2,0,0,1018.7,1017.9375,1017.6,57.5,55.05,52,-8,-8.85,-9.1,5.5,4.8,4.2,36.7,91.5,"ponedeljek","februar",2013,"Zima","SREDNJA","VISOKA",feb. 2013
"47","Koper",60,7.5,2.3,1.8,1,3.6,2.8625,2,0,0,1018.4,1017.4125,1016.8,73.1,69.7375,64.9,-9.9,-10.4875,-11,2.7,0.6875,-0.3,47.3,95.15,"torek","februar",2013,"Zima","SREDNJA","VISOKA",feb. 2013
"48","Koper",12,1.625,2.1,1.5875,0.9,3,2.4625,1.7,0,0,1013.4,1013.075,1012.9,66.4,64.3125,62.8,-6.1,-7.0875,-8,4.6,3.8875,3.3,43.4,84.3,"sreda","februar",2013,"Zima","SREDNJA","VISOKA",feb. 2013
"49","Koper",29.9,3.85,4.5,3.7375,2.5,9.9,8.825,6.7,0,0.4,1015,1013.7375,1012.7,57.1,51.125,43.8,-10.5,-11.4,-12.4,4.2,3.8625,3.6,14.4,82.45,"èetrtek","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"50","Koper",25.9,3.35,3.7,2.55,1.7,7.9,5.8625,4.7,0.0625,0.2,1008.1,1006.375,1005.6,78.4,62.675,54.7,-12.6,-12.875,-13,1.6,1.125,0,21,82.5,"petek","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"51","Koper",80.9,10.225,3.7,2.225,1.2,8.2,4.825,2.2,0.0125,0.7,1003.4,1001.975,1000.7,79.3,69.6375,57.3,-10,-10.225,-10.5,1.7,0.6625,-0.2,30.2,88.05,"sobota","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"52","Koper",13.9,1.85,3,1.775,1.1,7.7,3.75,1.8,0.125,0.3,1003.4,1001.775,1000.5,84.9,76.9125,70.4,-2.6,-3.9375,-6.3,5.7,4.975,4.1,21.8,84.85,"nedelja","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"53","Koper",101,12.75,2.3,1.9125,1.3,3.7,3.1875,2.3,0,0,1016.2,1013.8125,1012,83.1,74.275,66.9,-5,-6.3375,-7.7,5.9,4.65,3.6,25.7,91.35,"ponedeljek","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"54","Koper",106,13.375,2.1,1.6375,1,5.1,3.75,2.3,0,0,1018.9,1018.5,1018.1,69.8,61.075,53.7,-3.4,-4.0375,-5.3,7.1,5.65,3.1,20.9,77.35,"torek","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"55","Koper",9,1.125,2.5,1.85,1.4,6.4,5.05,4,0,0,1020.7,1020.2625,1020,60.3,59.15,55.8,-0.8,-0.95,-1.3,9.3,9.1375,9,18,56.5,"sreda","februar",2013,"Zima","NIZKA","NIZKA",feb. 2013
"56","Koper",114,14.625,2.2,1.6125,1.3,3.6,2.975,2.2,0,0,1024.6,1024.025,1023.6,75.1,72.6125,70.3,-2.3,-2.4875,-2.6,5.6,5.1125,4.4,25.5,86.2,"èetrtek","februar",2013,"Zima","SREDNJA","NIZKA",feb. 2013
"57","Koper",97,12.625,2.6,1.9875,1.1,3.7,3.0875,2.2,0,0,1022.3,1021.0375,1020.3,82.8,81.55,79.7,-1.4,-2.3375,-2.7,4.5,3.825,3.1,39.4,78.55,"petek","marec",2013,"Zima","SREDNJA","VISOKA",mar. 2013
"58","Koper",134,17.25,2.4,1.7,1.1,7,4.05,2,0,0,1019.1,1017.775,1017.1,88.1,72.4875,51.2,-2,-4.7125,-6.5,8.2,5.3625,3.2,13.9,83.35,"sobota","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"59","Koper",144,18.5,2.2,1.7375,1.2,3.9,3.4,2.8,0,0,1019,1018.025,1017.4,65.3,57.7125,50.3,-0.4,-2.1,-3.7,2.8,1.275,0,29,95.5,"nedelja","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"60","Koper",144,18.75,2.4,1.9375,1.1,4.2,3.1625,2.1,0,0,1020,1018.975,1018.6,70.1,62.0625,46.8,-0.8,-2.5125,-3.4,5.5,3.1875,2.2,28.6,111.7,"ponedeljek","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"61","Koper",145.9,19.1,2.5,2,1.2,3.7,3.075,2.3,0,0,1023.2,1023.025,1022.9,65,62.725,56.3,-1.4,-2.3,-3.3,4.5,3.2375,2.4,37.6,108.85,"torek","marec",2013,"Zima","SREDNJA","VISOKA",mar. 2013
"62","Koper",14.9,1.975,1.7,1.2,0.6,3.4,2.525,1.5,0.15,1.5,1019,1017.1375,1015.8,89.3,80.0625,68.4,-0.6,-1.525,-2.9,10.8,10.325,9.6,27.4,96.15,"sreda","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"63","Koper",8.1,1.15,2,0.7625,0.4,2.9,1.4375,0.8,0.55,5.8,1007.3,1006.0375,1005.4,95.9,95.2375,94.8,1.7,1.125,0.6,11.3,11.025,10.7,23.9,76.15,"èetrtek","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"64","Koper",18,2.5,2.6,1.275,0.5,4.9,2.5125,1.3,0.3625,1.8,1005.7,1005.2,1004.8,97.6,97.1125,96.8,1.8,1.725,1.4,11,10.8125,10.7,26.1,62.9,"petek","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"65","Koper",10.2,1.8,1,0.675,0.3,1.9,1.2375,0.6,0.25,3.7,1003,1002.4125,1001.9,96.3,96.0375,95.6,2.1,1.625,1.3,11.7,11.5125,11.4,18.9,67.9,"sobota","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"66","Koper",17.5,2.375,3.1,1.975,1.2,7.8,4.5375,2.8,1.1375,6.8,1001.8,1000,999,93.2,90.1375,86.8,0.3,0.0125,-0.1,11.9,11.45,11,14.8,85.8,"nedelja","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"67","Koper",202.9,27.475,2.1,1.225,0.8,2.9,2.1125,1.7,0,0,999.6,998.7625,998.2,93.7,92.225,85.5,-0.4,-1.625,-1.9,10.1,8.3,7,22.1,88,"ponedeljek","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"68","Koper",38,5.625,1.3,0.8125,0.5,2.1,1.45,0.9,0.2375,1.9,999.9,998.925,998.4,91.8,88.3,82.1,-1.2,-1.45,-1.8,10.5,9.925,9.6,13,78.9,"torek","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"69","Koper",180,24.625,2.4,1.1625,0.4,3.8,2.3,1,0.0125,0.1,997.6,996.5875,995.9,89.8,83.275,74.9,-1.9,-2.15,-2.3,11.3,9.4625,8.8,16.9,89.25,"sreda","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"70","Koper",28,4,3.9,2.75,1,12.5,7.7375,4.7,0,0,993.1,991.65,990.3,72.9,61.4125,54.6,-3.4,-5.0625,-6.6,9.6,8.925,7.9,10.7,93.95,"èetrtek","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"71","Koper",88,12.5,2.7,1.8,1.1,5.9,3.9125,2,0,0,1002,999.3625,997.4,45.4,41.775,34,-11.8,-12.125,-12.4,4.7,4.15,3.8,19.1,93,"petek","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"72","Koper",202,28.25,2.3,1.3625,0.5,4.5,2.7125,1.3,0,0,1020,1017.95,1016,50.3,36.35,29.2,-13.4,-14.0625,-14.5,3.9,2.325,0,21.9,104.45,"sobota","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"73","Koper",167,24.5,3.7,2.4375,1.5,6,3.95,2.4,0,1,1020,1018.5875,1017.7,57.1,52.2125,48.9,-9.2,-9.5625,-10.5,5.7,3.5,2.7,22,114.3,"nedelja","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"74","Koper",8.7,1.675,5.7,3.2875,1.8,12.6,7.2625,3.2,0.7625,5.2,1009.7,1004.5125,1000.1,88.2,80.575,74.7,-3.4,-4.2125,-5.2,10,8.55,6.8,8.4,103.15,"ponedeljek","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"75","Koper",199.9,30.35,7.2,3.4625,1.1,13.5,6.35,2.8,0.375,2.9,998.8,995.8125,993.1,85.5,78.95,67.9,-4.2,-4.7125,-5.5,8.8,7.0625,5.8,19.7,100.65,"torek","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"76","Koper",223,32.375,3.1,1.6875,0.7,5.6,3.5125,1.9,0,0.6,1007.4,1006.8125,1006.3,73.3,65.625,57.7,-3.7,-4.15,-4.4,11,8.525,6.6,26.8,91.4,"sreda","marec",2013,"Zima","SREDNJA","NIZKA",mar. 2013
"77","Koper",123,16.625,3.2,1.9875,0.6,8.7,3.8625,1.4,0.475,3.2,1008.6,1006.8375,1006.2,86.7,83.05,78,-3.2,-4.4125,-4.9,9.3,8.775,8.1,12.9,98.85,"èetrtek","marec",2013,"Pomlad","SREDNJA","NIZKA",mar. 2013
"78","Koper",257,37.875,2.5,1.925,1.4,3.8,3.175,2.4,0,0,1012.5,1012.1125,1011.8,55.4,45.6,25.7,-5.6,-6.275,-6.6,11.4,7.125,4.9,16.7,113.9,"petek","marec",2013,"Pomlad","SREDNJA","NIZKA",mar. 2013
"79","Koper",222,33.25,2.2,1.825,1.4,3.5,2.8,2.3,0,0.1,1014,1013.1,1012.5,69.7,66.4625,56.3,-3.9,-4.6,-6.1,7.8,5.6375,4.9,22.9,108.95,"sobota","marec",2013,"Pomlad","SREDNJA","NIZKA",mar. 2013
"80","Koper",27.5,4.75,3,1.9,0.5,6.5,4.7,1.9,0.125,1.1,1012.5,1011.45,1010.8,73.9,66,58.8,-4.4,-4.875,-5.4,7.3,6.8125,5.6,15.6,92.6,"nedelja","marec",2013,"Pomlad","SREDNJA","NIZKA",mar. 2013
"81","Koper",24.6,3.65,6.2,4.65,3.6,14.3,11.15,8.6,0.9125,7.1,1006.4,1004.5,1002.7,72.1,62.4,53.2,-6.9,-8.0875,-9,3.5,2.7375,1.7,17.7,88.45,"ponedeljek","marec",2013,"Pomlad","SREDNJA","NIZKA",mar. 2013
"82","Koper",76,11,3.8,3.4125,3.1,10.1,8.475,7.2,0,0,1002.9,1002.0875,1001.5,57.4,55.675,53.3,-9.1,-9.6,-10.2,3,2.25,1.8,17.3,102.35,"torek","marec",2013,"Pomlad","SREDNJA","NIZKA",mar. 2013
"83","Koper",223,36.25,4.1,2.8,1.8,8.1,5.8625,4.2,0,0,1007.2,1006.3,1005.9,51.4,48.55,44.6,-10.5,-11.65,-12.6,3.8,2.5875,1.8,33.4,107.15,"sreda","marec",2013,"Pomlad","SREDNJA","NIZKA",mar. 2013
"84","Koper",125.9,21.8375,1.9,1.425,0.9,2.9,2.3375,1.5,0,0.1,1013.3,1012.6375,1012.4,73.1,68.2875,60.9,-7.4,-7.8125,-8.2,5.6,3.0125,1.4,40.7,107.95,"èetrtek","marec",2013,"Pomlad","SREDNJA","VISOKA",mar. 2013
"85","Koper",22.9,4.6,6.7,5.0625,2.9,13.4,9.6,6.2,1.2125,13.1,1007.3,1006.375,1005.7,89.5,83.825,75.6,-0.3,-0.75,-1.4,12,11.025,9.1,14.8,97.4,"petek","marec",2013,"Pomlad","SREDNJA","NIZKA",mar. 2013
"86","Koper",164,25.25,2.7,1.6375,1.1,4.4,3.1875,2.1,0.5,2.7,1004.7,1003.9375,1003.4,95.4,94.55,92.8,-0.1,-0.1125,-0.2,10.5,9.05,8.5,24.7,94.1,"sobota","marec",2013,"Pomlad","SREDNJA","NIZKA",mar. 2013
"87","Koper",9.7,1.6375,5.1,2.475,1,7.5,4.725,3.1,0.6625,3.1,994.6,993.4625,992.7,94,87.225,78.4,0.8,-0.4375,-2.4,14,10.75,8.8,-0.2,90.95,"nedelja","marec",2013,"Pomlad","SREDNJA","NIZKA",mar. 2013
"88","Koper",41.5,6.9375,3.1,2.075,1.3,6.9,4.7625,3.1,0.025,0.2,1005.7,1004.25,1003.3,69.3,61.65,56.6,-6.1,-6.625,-7.2,8.4,7.6125,6.8,16.3,98.6,"ponedeljek","april",2013,"Pomlad","SREDNJA","NIZKA",apr. 2013
"89","Koper",79.8,11.45,3.7,2.45,0.8,9.2,6.1125,2.4,0.15,1.2,1004.3,1002.6,1001.2,70.5,66.2,60.9,-2.7,-3.925,-4.9,8.2,7.2375,6.5,6.5,101,"torek","april",2013,"Pomlad","SREDNJA","NIZKA",apr. 2013
"90","Koper",109,18,2.8,2.3625,1.8,9.3,6.8,4.4,0,0,1004.1,1003.55,1003.3,52.4,51.325,49.8,-4.6,-5.1625,-5.6,9.7,8.6875,8,12.6,100.35,"sreda","april",2013,"Pomlad","SREDNJA","NIZKA",apr. 2013
"91","Koper",101,24.5,2.5,1.7375,1.1,3.6,2.775,2.3,0,0,1015.4,1014.775,1014.3,86.2,84.0875,79.6,-0.6,-0.95,-1.3,9.7,7.6375,6.9,23.1,114.55,"èetrtek","april",2013,"Pomlad","SREDNJA","NIZKA",apr. 2013
"92","Koper",65.9,13.4625,4.2,2.775,0.8,7.5,5.2375,1.9,0.1875,1.5,1011.8,1010.3375,1009.8,78.7,72.9625,64,1.8,0.9875,0.4,15.2,13.875,12.4,20.6,108.75,"petek","april",2013,"Pomlad","SREDNJA","NIZKA",apr. 2013
"93","Koper",382,69.5,3.5,2.3125,1.7,5.2,3.775,2.7,0,0,1017.2,1014.6,1012.5,70.6,66.8625,54.1,0.1,-0.1625,-0.5,16.2,13.5625,11.8,26.8,102.3,"sobota","april",2013,"Pomlad","SREDNJA","NIZKA",apr. 2013
"94","Koper",307,67.125,2.2,1.55,0.9,3.4,2.7125,2.2,0,0,1027.2,1026.3125,1025.5,86.3,82.1625,73.7,2.9,1.4125,1,12.8,10.1,8.7,18.6,116.4,"nedelja","april",2013,"Pomlad","SREDNJA","NIZKA",apr. 2013
"95","Koper",380,73.5,2,1.325,0.9,3.3,2.4875,2.2,0,0,1025.8,1024.85,1024.4,75.5,72.4625,66.7,4,2.7375,2.2,13.9,10.9875,9.6,25.7,128.5,"ponedeljek","april",2013,"Pomlad","VISOKA","NIZKA",apr. 2013
"96","Koper",192,46.625,2.5,1.25,0.5,3.7,2.3375,1,0,0,1022.6,1021.8125,1021.5,69,66.3875,63.9,4.2,2.95,2.2,15.3,14.0875,13,24.8,116.05,"torek","april",2013,"Pomlad","SREDNJA","NIZKA",apr. 2013
